,County,Total Population,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,Total Population: Hispanic or Latino,% Total Population: Hispanic or Latino,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,Civilian Population 16 to 19 Years:,Median Household Income (In 2017 Inflation Adjusted Dollars),% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty
29,Nevada,98838,91016,582,930,1123,99,1823,92.09,0.59,0.94,1.14,0.1,1.84,9109,9.22,6.45,93.55,75.04,35.83,12.98,4.13,1.25,4471,60610,15.1
30,Orange,3155816,1960484,53262,14468,621178,9620,373605,62.12,1.69,0.46,19.68,0.3,11.84,1079172,34.2,15.29,84.71,67.4,39.07,13.86,4.38,1.57,168512,81851,16.42
31,Placer,374985,310295,5756,2029,25999,874,11661,82.75,1.53,0.54,6.93,0.23,3.11,51131,13.64,5.54,94.46,75.4,37.49,12.48,3.88,1.14,18701,80488,8.3
32,Plumas,18724,16781,160,398,148,55,368,89.62,0.85,2.13,0.79,0.29,1.97,1599,8.54,6.43,93.57,68.11,22.59,10.12,2.42,0.55,757,50266,12.78
33,Riverside,2355002,1450473,148960,19865,148213,6863,474855,61.59,6.33,0.84,6.29,0.29,20.16,1130033,47.98,18.91,81.09,54.71,21.52,7.84,2.28,0.87,141857,60807,21.31
34,Sacramento,1495400,877495,147425,10384,229441,16019,109241,58.68,9.86,0.69,15.34,1.07,7.31,340656,22.78,12.98,87.02,64.52,29.87,10.15,3.32,1.07,75776,60239,22.61
35,San Benito,58671,48136,442,426,1649,124,5181,82.04,0.75,0.73,2.81,0.21,8.83,34561,58.91,20.9,79.1,54.44,19.19,5.86,1.91,0.7,3552,80760,14.45
36,San Bernardino,2121220,1312700,178674,17046,146650,6660,360213,61.88,8.42,0.8,6.91,0.31,16.98,1108996,52.28,20.8,79.2,52.98,19.77,6.94,1.9,0.74,129131,57156,25.82
37,San Diego,3283665,2325434,164571,21064,384154,14182,207640,70.82,5.01,0.64,11.7,0.43,6.32,1095458,33.36,13.3,86.7,68.1,37.36,14.36,4.82,2.08,173100,70588,17.06
38,San Francisco,864263,408266,45654,3306,295347,3226,64800,47.24,5.28,0.38,34.17,0.37,7.5,131949,15.27,12.1,87.9,75.6,55.79,22.37,7.69,2.74,25022,96265,11.37
39,San Joaquin,724153,404806,50433,4304,109359,4233,80536,55.9,6.96,0.59,15.1,0.58,11.12,295606,40.82,21.56,78.44,51.07,18.08,5.77,1.84,0.65,43844,57813,23.06
40,San Luis Obispo,280119,240584,5393,2041,10276,280,11804,85.89,1.93,0.73,3.67,0.1,4.21,62174,22.2,9.53,90.47,70.66,34,12.85,4.54,2.05,19462,67175,12.9
41,San Mateo,763450,397718,18577,2611,210816,10797,82231,52.09,2.43,0.34,27.61,1.41,10.77,190045,24.89,11.06,88.94,73.44,48.54,20.33,7.28,3.25,31819,105667,8.73
42,Santa Barbara,442996,330827,8307,3869,23927,732,55909,74.68,1.88,0.87,5.4,0.17,12.62,198556,44.82,19.56,80.44,63.02,33.27,13.46,4.99,2.29,32040,68023,19.37
