,County,White Applicants,White Admits,White Admit Rate,Black Applicants,Black Admits,Black Admit Rate,Native American Applicants,Native American Admits,Native American Admit Rate,Hispanic/Latino Applicants,Hispanic/Latino Admits,Hispanic/Latino Admit Rate,Asian Applicants,Asian Admits,Asian Admit Rate,Other Applicants,Other Admits,Other Admit Rate
38,San Joaquin,208.0,131.0,62.98,59.0,28.0,47.46,0.0,0.0,,473.0,276.0,58.35,500.0,368.0,73.6,0.0,0.0,
39,San Luis Obispo,269.0,154.0,57.25,0.0,0.0,,0.0,3.0,inf,114.0,52.0,45.61,22.0,21.0,95.45,0.0,0.0,
40,San Mateo,867.0,529.0,61.01,16.0,6.0,37.5,0.0,4.0,inf,574.0,322.0,56.1,932.0,657.0,70.49,52.0,39.0,75.0
41,Santa Barbara,343.0,233.0,67.93,10.0,3.0,30.0,0.0,3.0,inf,421.0,238.0,56.53,95.0,74.0,77.89,0.0,10.0,inf
42,Santa Clara,1754.0,1094.0,62.37,127.0,76.0,59.84,0.0,3.0,inf,1215.0,665.0,54.73,4475.0,3401.0,76.0,170.0,139.0,81.76
43,Santa Cruz,278.0,167.0,60.07,0.0,0.0,,0.0,0.0,,231.0,124.0,53.68,54.0,33.0,61.11,5.0,3.0,60.0
44,Shasta,94.0,52.0,55.32,0.0,0.0,,0.0,0.0,,22.0,16.0,72.73,19.0,12.0,63.16,0.0,0.0,
45,Sierra,,,,,,,,,,,,,,,,,,
46,Siskiyou,16.0,8.0,50.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
47,Solano,179.0,122.0,68.16,54.0,22.0,40.74,0.0,0.0,,205.0,128.0,62.44,256.0,162.0,63.28,0.0,0.0,
48,Sonoma,438.0,256.0,58.45,7.0,0.0,0.0,0.0,0.0,,276.0,135.0,48.91,112.0,78.0,69.64,0.0,6.0,inf
49,Stanislaus,219.0,169.0,77.17,7.0,10.0,142.86,0.0,3.0,inf,437.0,274.0,62.7,138.0,111.0,80.43,0.0,7.0,inf
50,Sutter,21.0,17.0,80.95,0.0,0.0,,0.0,0.0,,53.0,32.0,60.38,60.0,44.0,73.33,0.0,0.0,
51,Tehama,13.0,6.0,46.15,0.0,0.0,,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,
52,Trinity,7.0,4.0,57.14,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
53,Tulare,92.0,74.0,80.43,0.0,0.0,,0.0,0.0,,449.0,265.0,59.02,36.0,40.0,111.11,0.0,0.0,
54,Tuolumne,25.0,18.0,72.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.0,inf,0.0,0.0,
55,Ventura,852.0,501.0,58.8,31.0,19.0,61.29,8.0,7.0,87.5,793.0,405.0,51.07,510.0,382.0,74.9,15.0,11.0,73.33
56,Yolo,246.0,169.0,68.7,13.0,9.0,69.23,0.0,0.0,,134.0,75.0,55.97,149.0,107.0,71.81,8.0,0.0,0.0
57,Yuba,13.0,7.0,53.85,0.0,0.0,,0.0,0.0,,23.0,13.0,56.52,0.0,0.0,,0.0,0.0,
