FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Tribal Tract,Tribal Block Group,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,% Total Population: Not Hispanic or Latino,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,% Total Population: Not Hispanic or Latino: Asian Alone,% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Not Hispanic or Latino: Some Other Race Alone,% Total Population: Not Hispanic or Latino: Two or More Races,% Total Population: Hispanic or Latino,% Total Population: Hispanic or Latino: White Alone,% Total Population: Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,% Total Population: Hispanic or Latino: Asian Alone,% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Hispanic or Latino: Some Other Race Alone,% Total Population: Hispanic or Latino: Two or More Races,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate or More (Includes Equivalency),Population 25 Years and Over: Some College or More,Population 25 Years and Over: Bachelor's Degree or More,Population 25 Years and Over: Master's Degree or More,Population 25 Years and Over: Professional School Degree or More,Population 25 Years and Over: Doctorate Degree,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,Civilian Population 16 to 19 Years:,"Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (in School)","% Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","% Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (in School)",Median Household Income (In 2017 Inflation Adjusted Dollars),Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,% Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level,Households,Households with Housing Costs more than 30% of Income,% Households with Housing Costs more than 30% of Income
6019,05000US06019,"Fresno County, California","Fresno County, California",ca,50,0,ACSSF,22,,,,,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971616,971616,617322,47715,9784,97966,1947,158359,38523,63.54,4.91,1.01,10.08,0.2,16.3,3.96,971616,462174,293677,45217,4197,96128,1316,1799,19840,509442,323645,2498,5587,1838,631,156560,18683,47.57,30.23,4.65,0.43,9.89,0.14,0.19,2.04,52.43,33.31,0.26,0.58,0.19,0.06,16.11,1.92,588491,149076,439415,305042,118389,40011,14802,5035,25.33,74.67,51.83,20.12,6.8,2.52,0.86,56709,3063,53646,5.4,94.6,48730,275710,100591,175119,36.48,63.52,301824,115295,38.2
6021,05000US06021,"Glenn County, California","Glenn County, California",ca,50,0,ACSSF,23,,,,,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27935,27935,23191,220,541,729,113,2542,599,83.02,0.79,1.94,2.61,0.4,9.1,2.14,27935,16528,14663,212,468,729,82,0,374,11407,8528,8,73,0,31,2542,225,59.17,52.49,0.76,1.68,2.61,0.29,0,1.34,40.83,30.53,0.03,0.26,0,0.11,9.1,0.81,17927,4929,12998,8107,2328,509,218,68,27.49,72.51,45.22,12.99,2.84,1.22,0.38,1644,96,1548,5.84,94.16,46260,7393,1883,5510,25.47,74.53,9936,3093,31.13
6023,05000US06023,"Humboldt County, California","Humboldt County, California",ca,50,0,ACSSF,24,,,,,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135490,135490,109346,1609,7042,3926,418,5318,7831,80.7,1.19,5.2,2.9,0.31,3.93,5.78,135490,120504,101460,1389,6196,3886,360,362,6851,14986,7886,220,846,40,58,4956,980,88.94,74.88,1.03,4.57,2.87,0.27,0.27,5.06,11.06,5.82,0.16,0.62,0.03,0.04,3.66,0.72,91359,8635,82724,60762,26884,9216,3378,1263,9.45,90.55,66.51,29.43,10.09,3.7,1.38,7645,200,7445,2.62,97.38,43718,25752,5783,19969,22.46,77.54,53966,21389,39.63
6025,05000US06025,"Imperial County, California","Imperial County, California",ca,50,0,ACSSF,25,,,,,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179957,179957,117188,4785,1979,2584,261,44841,8319,65.12,2.66,1.1,1.44,0.15,24.92,4.62,179957,29849,20372,4109,1087,2263,152,138,1728,150108,96816,676,892,321,109,44703,6591,16.59,11.32,2.28,0.6,1.26,0.08,0.08,0.96,83.41,53.8,0.38,0.5,0.18,0.06,24.84,3.66,108522,34282,74240,48710,15498,4806,929,187,31.59,68.41,44.88,14.28,4.43,0.86,0.17,10659,415,10244,3.89,96.11,44779,51127,15836,35291,30.97,69.03,45198,15901,35.18
6027,05000US06027,"Inyo County, California","Inyo County, California",ca,50,0,ACSSF,26,,,,,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18195,18195,14685,174,2093,272,34,409,528,80.71,0.96,11.5,1.49,0.19,2.25,2.9,18195,14301,11557,172,1956,270,34,15,297,3894,3128,2,137,2,0,394,231,78.6,63.52,0.95,10.75,1.48,0.19,0.08,1.63,21.4,17.19,0.01,0.75,0.01,0,2.17,1.27,13230,1502,11728,7714,3344,1241,326,166,11.35,88.65,58.31,25.28,9.38,2.46,1.25,814,10,804,1.23,98.77,51500,3671,490,3181,13.35,86.65,8026,2107,26.25
6029,05000US06029,"Kern County, California","Kern County, California",ca,50,0,ACSSF,27,,,,,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878744,878744,660196,48078,9739,41263,1620,88403,29445,75.13,5.47,1.11,4.7,0.18,10.06,3.35,878744,419837,310638,45024,4214,39808,1029,996,18128,458907,349558,3054,5525,1455,591,87407,11317,47.78,35.35,5.12,0.48,4.53,0.12,0.11,2.06,52.22,39.78,0.35,0.63,0.17,0.07,9.95,1.29,526286,137823,388463,242769,83081,27558,8273,3263,26.19,73.81,46.13,15.79,5.24,1.57,0.62,52584,1996,50588,3.8,96.2,50826,253373,79380,173993,31.33,68.67,264993,93116,35.14
6031,05000US06031,"Kings County, California","Kings County, California",ca,50,0,ACSSF,28,,,,,6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150183,150183,99117,9597,2259,5694,367,26842,6307,66,6.39,1.5,3.79,0.24,17.87,4.2,150183,69468,49728,8916,1200,5463,332,211,3618,80715,49389,681,1059,231,35,26631,2689,46.26,33.11,5.94,0.8,3.64,0.22,0.14,2.41,53.74,32.89,0.45,0.71,0.15,0.02,17.73,1.79,91889,24879,67010,43533,11991,3473,1270,252,27.08,72.92,47.38,13.05,3.78,1.38,0.27,8434,169,8265,2,98,49742,40492,11636,28856,28.74,71.26,42349,14136,33.38
6033,05000US06033,"Lake County, California","Lake County, California",ca,50,0,ACSSF,29,,,,,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64095,64095,49841,1493,2201,953,33,7951,1623,77.76,2.33,3.43,1.49,0.05,12.41,2.53,64095,51650,45957,1362,2045,920,32,90,1244,12445,3884,131,156,33,1,7861,379,80.58,71.7,2.12,3.19,1.44,0.05,0.14,1.94,19.42,6.06,0.2,0.24,0.05,0,12.26,0.59,46386,7091,39295,25253,7116,2528,850,273,15.29,84.71,54.44,15.34,5.45,1.83,0.59,2960,95,2865,3.21,96.79,40446,12782,4042,8740,31.62,68.38,26327,9125,34.66
6035,05000US06035,"Lassen County, California","Lassen County, California",ca,50,0,ACSSF,30,,,,,6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31470,31470,25615,2748,968,463,219,865,592,81.39,8.73,3.08,1.47,0.7,2.75,1.88,31470,25641,20812,2708,913,462,219,16,511,5829,4803,40,55,1,0,849,81,81.48,66.13,8.61,2.9,1.47,0.7,0.05,1.62,18.52,15.26,0.13,0.17,0,0,2.7,0.26,22422,3960,18462,11197,2781,1020,368,120,17.66,82.34,49.94,12.4,4.55,1.64,0.54,1179,75,1104,6.36,93.64,54083,4883,1012,3871,20.72,79.28,9441,2396,25.38
6037,05000US06037,"Los Angeles County, California","Los Angeles County, California",ca,50,0,ACSSF,31,,,,,6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10105722,10105722,5232835,828981,68211,1460508,27691,2101084,386412,51.78,8.2,0.67,14.45,0.27,20.79,3.82,10105722,5212143,2676982,799579,19915,1442577,24950,28960,219180,4893579,2555853,29402,48296,17931,2741,2072124,167232,51.58,26.49,7.91,0.2,14.27,0.25,0.29,2.17,48.42,25.29,0.29,0.48,0.18,0.03,20.5,1.65,6801851,1485760,5316091,3907186,2124306,739973,247049,88238,21.84,78.16,57.44,31.23,10.88,3.63,1.3,543922,17987,525935,3.31,96.69,61015,2243124,538720,1704404,24.02,75.98,3295198,1490840,45.24
