,,DISTRIBUTION OF FEDERAL PELL GRANT RECIPIENTS ,,,,,
,,BY TYPE AND CONTROL OF INSTITUTION,,,,,
,,AWARD YEAR 2016-2017,,,,,
,,,,,,,
,OPE_ID,INSTITUTION NAME,INSTITUTION CITY,INSTITUTION STATE,INSTITUTION TYPE AND CONTROL, TOTAL AWARDS , TOTAL RECIPIENTS 
,107100,ARIZONA WESTERN COLLEGE,YUMA,AZ,Public 2 Year,"$15,451,368 ","4,623"
,107200,COCHISE COLLEGE,SIERRA VISTA,AZ,Public 2 Year,"$6,274,061 ","1,751"
,107300,EASTERN ARIZONA COLLEGE,THATCHER,AZ,Public 2 Year,"$5,247,261 ","1,404"
,107400,GRAND CANYON UNIVERSITY,PHOENIX,AZ,Proprietary 4 Year,"$117,975,392 ","31,399"
,107600,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,Public 2 Year,"$25,233,325 ","7,375"
,107700,MESA COMMUNITY COLLEGE,MESA,AZ,Public 2 Year,"$22,858,649 ","6,886"
,107800,PHOENIX COLLEGE,PHOENIX,AZ,Public 2 Year,"$17,218,843 ","5,138"
,107900,YAVAPAI COLLEGE,PRESCOTT,AZ,Public 2 Year,"$8,433,892 ","2,609"
,108100,ARIZONA STATE UNIV (ALL CAMPUSES),TEMPE,AZ,Public 4 Year,"$118,427,382 ","31,101"
,108200,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,Public 4 Year,"$40,582,053 ","10,188"
,108300,UNIVERSITY OF ARIZONA,TUCSON,AZ,Public 4 Year,"$45,559,243 ","10,750"
,108500,UNIV ARKANSAS MONTICELLO,MONTICELLO,AR,Public 4 Year,"$7,324,368 ","1,810"
,108600,UNIV OF ARKANSAS AT PINE BLUFF,PINE BLUFF,AR,Public 4 Year,"$9,363,215 ","2,113"
,108700,ARKANSAS BAPTIST COLLEGE,LITTLE ROCK,AR,Private 4 Year,"$3,584,592 ",841
,108800,LYON COLLEGE,BATESVILLE,AR,Private 4 Year,"$1,103,930 ",257
,108900,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,Public 4 Year,"$18,952,004 ","4,705"
,109000,ARKANSAS STATE UNIVERSITY,JONESBORO,AR,Public 4 Year,"$18,102,274 ","4,430"
,109100,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,Public 2 Year,"$5,706,911 ","1,492"
,109200,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,Public 4 Year,"$16,784,136 ","3,984"
,109300,CENTRAL BAPTIST COLLEGE,CONWAY,AR,Private 4 Year,"$1,627,314 ",422
,109400,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,Private 4 Year,"$1,319,971 ",290
,109500,CROWLEYS RIDGE COLLEGE,PARAGOULD,AR,Private 4 Year,"$486,459 ",115
,109700,HARDING UNIVERSITY,SEARCY,AR,Private 4 Year,"$4,753,792 ","1,159"
,109800,HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,Public 4 Year,"$6,925,974 ","1,575"
,109900,HENDRIX COLLEGE,CONWAY,AR,Private 4 Year,"$1,273,460 ",301
,110000,JOHN BROWN UNIVERSITY,SILOAM SPRINGS,AR,Private 4 Year,"$2,368,393 ",591
